Date,Open,Close,High,Low,Volume
2020-09-29 11:03:00,1.17057,1.17062,1.17069,1.17041,274
2020-09-29 11:04:00,1.17061,1.17077,1.17087,1.17057,221
2020-09-29 11:05:00,1.17077,1.17056,1.17077,1.17049,147
2020-09-29 11:06:00,1.17055,1.17052,1.17064,1.17039,118
2020-09-29 11:07:00,1.17051,1.17045,1.17057,1.17041,147
2020-09-29 11:08:00,1.17045,1.17051,1.17053,1.17037,127
2020-09-29 11:09:00,1.17051,1.17066,1.17073,1.17049,196
2020-09-29 11:10:00,1.17066,1.17131,1.17141,1.17066,353
2020-09-29 11:11:00,1.17131,1.17136,1.17145,1.17126,245
2020-09-29 11:12:00,1.17135,1.17136,1.17141,1.17119,214
2020-09-29 11:13:00,1.17136,1.17119,1.17141,1.17116,150
2020-09-29 11:14:00,1.1712,1.17109,1.17125,1.17107,152
2020-09-29 11:15:00,1.17108,1.17099,1.17123,1.17097,225
2020-09-29 11:16:00,1.17098,1.17111,1.17126,1.17096,209
2020-09-29 11:17:00,1.17111,1.17094,1.17111,1.17091,149
2020-09-29 11:18:00,1.17094,1.17097,1.17106,1.1709,196
2020-09-29 11:19:00,1.17097,1.17093,1.17098,1.17077,246
2020-09-29 11:20:00,1.17093,1.17095,1.17105,1.17085,238
2020-09-29 11:21:00,1.17095,1.17099,1.17105,1.17083,213
2020-09-29 11:22:00,1.17099,1.17085,1.17106,1.17075,241
2020-09-29 11:23:00,1.17086,1.17083,1.17088,1.17073,261
2020-09-29 11:24:00,1.17083,1.17069,1.17089,1.17069,213
2020-09-29 11:25:00,1.17069,1.17057,1.17073,1.17055,294
2020-09-29 11:26:00,1.17057,1.17069,1.17071,1.17056,189
2020-09-29 11:27:00,1.17067,1.17059,1.17071,1.17059,161
2020-09-29 11:28:00,1.17059,1.17049,1.17063,1.17047,183
2020-09-29 11:29:00,1.17049,1.17027,1.17053,1.17026,146
2020-09-29 11:30:00,1.17027,1.17034,1.17046,1.17027,170
2020-09-29 11:31:00,1.17034,1.17033,1.17039,1.17031,160
2020-09-29 11:32:00,1.17034,1.17049,1.1705,1.17034,148
2020-09-29 11:33:00,1.17049,1.17039,1.17053,1.17035,98
2020-09-29 11:34:00,1.17039,1.17029,1.1705,1.17007,148
2020-09-29 11:35:00,1.17029,1.17046,1.17053,1.17029,94
2020-09-29 11:36:00,1.17046,1.17061,1.17061,1.17046,104
2020-09-29 11:37:00,1.1706,1.17067,1.17071,1.17059,90
2020-09-29 11:38:00,1.17067,1.17059,1.17069,1.17053,49
2020-09-29 11:39:00,1.17059,1.17055,1.17074,1.17055,70
2020-09-29 11:40:00,1.17055,1.17071,1.17073,1.17055,88
2020-09-29 11:41:00,1.17071,1.17071,1.17079,1.17067,94
2020-09-29 11:42:00,1.17071,1.1708,1.17081,1.17071,69
2020-09-29 11:43:00,1.1708,1.17083,1.17083,1.17077,31
2020-09-29 11:44:00,1.17084,1.17077,1.17087,1.17067,79
2020-09-29 11:45:00,1.17077,1.17071,1.17082,1.17071,78
2020-09-29 11:46:00,1.17071,1.17066,1.17072,1.17057,146
2020-09-29 11:47:00,1.17066,1.17063,1.17077,1.17059,143
2020-09-29 11:48:00,1.17062,1.17055,1.17063,1.17049,142
2020-09-29 11:49:00,1.17053,1.17036,1.17057,1.17032,149
2020-09-29 11:50:00,1.17037,1.17035,1.17043,1.17031,125
2020-09-29 11:51:00,1.17034,1.17044,1.17054,1.17031,69
2020-09-29 11:52:00,1.17044,1.17019,1.17044,1.17019,62
2020-09-29 11:53:00,1.17019,1.17028,1.17034,1.17019,73
2020-09-29 11:54:00,1.17028,1.17039,1.17041,1.17027,76
2020-09-29 11:55:00,1.17039,1.17045,1.17045,1.17035,47
2020-09-29 11:56:00,1.17045,1.17039,1.17045,1.17036,44
2020-09-29 11:57:00,1.17039,1.17057,1.17057,1.17037,61
2020-09-29 11:58:00,1.17057,1.17048,1.17059,1.17046,70
2020-09-29 11:59:00,1.17049,1.17073,1.1708,1.17049,137
2020-09-29 12:00:00,1.17074,1.1708,1.17081,1.17063,141
2020-09-29 12:01:00,1.17081,1.17035,1.17087,1.1703,225
2020-09-29 12:02:00,1.17031,1.17034,1.17035,1.17007,204
2020-09-29 12:03:00,1.17034,1.17064,1.17066,1.17034,103
2020-09-29 12:04:00,1.17064,1.17053,1.17069,1.17049,257
2020-09-29 12:05:00,1.17053,1.17026,1.17053,1.17009,297
2020-09-29 12:06:00,1.17025,1.17036,1.17055,1.17022,235
2020-09-29 12:07:00,1.17037,1.1702,1.17037,1.17016,116
2020-09-29 12:08:00,1.1702,1.17011,1.17028,1.17007,123
2020-09-29 12:09:00,1.17011,1.17037,1.17037,1.17009,103
2020-09-29 12:10:00,1.17037,1.17021,1.17037,1.17013,115
2020-09-29 12:11:00,1.17021,1.17031,1.17054,1.17021,213
2020-09-29 12:12:00,1.17032,1.17038,1.17041,1.17031,116
2020-09-29 12:13:00,1.17038,1.17037,1.17049,1.17035,105
2020-09-29 12:14:00,1.17037,1.17015,1.17038,1.17015,92
2020-09-29 12:15:00,1.17016,1.17021,1.1703,1.17016,100
2020-09-29 12:16:00,1.17022,1.17011,1.17022,1.17011,149
2020-09-29 12:17:00,1.17011,1.17024,1.17027,1.17007,114
2020-09-29 12:18:00,1.17025,1.1704,1.17041,1.17023,113
2020-09-29 12:19:00,1.17039,1.17036,1.17043,1.1703,90
2020-09-29 12:20:00,1.17037,1.17037,1.17045,1.17033,75
2020-09-29 12:21:00,1.17037,1.17043,1.17049,1.17037,80
2020-09-29 12:22:00,1.17042,1.17032,1.1706,1.17032,104
2020-09-29 12:23:00,1.17031,1.17031,1.17037,1.17019,81
2020-09-29 12:24:00,1.17031,1.17045,1.17055,1.17031,93
2020-09-29 12:25:00,1.17045,1.17045,1.17049,1.17035,94
2020-09-29 12:26:00,1.17044,1.17047,1.17049,1.17037,89
2020-09-29 12:27:00,1.17047,1.17076,1.17076,1.17043,122
2020-09-29 12:28:00,1.17075,1.17075,1.17103,1.17074,187
2020-09-29 12:29:00,1.17075,1.17073,1.17082,1.17071,140
2020-09-29 12:30:00,1.17073,1.17075,1.17084,1.17064,156
2020-09-29 12:31:00,1.17075,1.17077,1.17086,1.17073,228
2020-09-29 12:32:00,1.17077,1.17067,1.17085,1.17065,139
2020-09-29 12:33:00,1.17065,1.17074,1.17085,1.17061,201
