Date,Date,Open,Close,High,Low,Volume
2020-09-30 21:18:00,2020-09-30 21:18:00,1.1723,1.17233,1.17233,1.1723,3
2020-09-30 21:19:00,2020-09-30 21:19:00,1.17233,1.17235,1.17235,1.17233,1
2020-09-30 21:20:00,2020-09-30 21:20:00,1.17235,1.17235,1.17235,1.17235,0
2020-09-30 21:21:00,2020-09-30 21:21:00,1.17235,1.17257,1.17258,1.17235,10
2020-09-30 21:22:00,2020-09-30 21:22:00,1.17258,1.17259,1.17262,1.17233,35
2020-09-30 21:23:00,2020-09-30 21:23:00,1.17259,1.17235,1.17259,1.17233,6
2020-09-30 21:24:00,2020-09-30 21:24:00,1.17235,1.17233,1.17235,1.17231,5
2020-09-30 21:25:00,2020-09-30 21:25:00,1.17233,1.17231,1.17233,1.17231,1
2020-09-30 21:26:00,2020-09-30 21:26:00,1.17231,1.17231,1.17231,1.17231,0
2020-09-30 21:27:00,2020-09-30 21:27:00,1.17231,1.17231,1.17231,1.17231,0
2020-09-30 21:28:00,2020-09-30 21:28:00,1.17231,1.17229,1.17231,1.17229,1
2020-09-30 21:29:00,2020-09-30 21:29:00,1.17229,1.17232,1.17233,1.17229,2
2020-09-30 21:30:00,2020-09-30 21:30:00,1.17232,1.17231,1.17233,1.17231,2
2020-09-30 21:31:00,2020-09-30 21:31:00,1.1723,1.17231,1.17232,1.1723,9
2020-09-30 21:32:00,2020-09-30 21:32:00,1.17231,1.17227,1.17231,1.17227,2
2020-09-30 21:33:00,2020-09-30 21:33:00,1.17227,1.17229,1.17229,1.17227,1
2020-09-30 21:34:00,2020-09-30 21:34:00,1.17229,1.17229,1.17231,1.17229,2
2020-09-30 21:35:00,2020-09-30 21:35:00,1.17229,1.17229,1.17229,1.17229,0
2020-09-30 21:36:00,2020-09-30 21:36:00,1.17229,1.17229,1.17229,1.17228,2
2020-09-30 21:37:00,2020-09-30 21:37:00,1.17229,1.17234,1.17234,1.17229,1
2020-09-30 21:38:00,2020-09-30 21:38:00,1.17234,1.17235,1.17235,1.17233,2
2020-09-30 21:39:00,2020-09-30 21:39:00,1.17235,1.17233,1.17235,1.17233,1
2020-09-30 21:40:00,2020-09-30 21:40:00,1.17233,1.17233,1.17233,1.17233,0
2020-09-30 21:41:00,2020-09-30 21:41:00,1.17233,1.17232,1.17233,1.17232,1
2020-09-30 21:42:00,2020-09-30 21:42:00,1.17232,1.17232,1.17232,1.17232,0
2020-09-30 21:43:00,2020-09-30 21:43:00,1.17232,1.17216,1.17232,1.17199,34
2020-09-30 21:44:00,2020-09-30 21:44:00,1.17216,1.17216,1.1723,1.17215,14
2020-09-30 21:45:00,2020-09-30 21:45:00,1.17216,1.17221,1.17223,1.17215,12
2020-09-30 21:46:00,2020-09-30 21:46:00,1.17221,1.17221,1.17224,1.17219,8
2020-09-30 21:47:00,2020-09-30 21:47:00,1.17221,1.17219,1.17221,1.17219,2
2020-09-30 21:48:00,2020-09-30 21:48:00,1.17219,1.17221,1.17223,1.17219,11
2020-09-30 21:49:00,2020-09-30 21:49:00,1.17221,1.1722,1.17221,1.1722,1
2020-09-30 21:50:00,2020-09-30 21:50:00,1.1722,1.17227,1.17227,1.17219,5
2020-09-30 21:51:00,2020-09-30 21:51:00,1.17227,1.1722,1.17227,1.1722,10
2020-09-30 21:52:00,2020-09-30 21:52:00,1.1722,1.17218,1.1722,1.17218,6
2020-09-30 21:53:00,2020-09-30 21:53:00,1.17218,1.17221,1.17221,1.17218,6
2020-09-30 21:54:00,2020-09-30 21:54:00,1.1722,1.17217,1.17221,1.17209,24
2020-09-30 21:55:00,2020-09-30 21:55:00,1.17216,1.17236,1.17236,1.17215,16
2020-09-30 21:56:00,2020-09-30 21:56:00,1.17236,1.17237,1.17237,1.17236,1
2020-09-30 21:57:00,2020-09-30 21:57:00,1.17237,1.17237,1.17238,1.17237,2
2020-09-30 21:58:00,2020-09-30 21:58:00,1.17237,1.17255,1.17278,1.17237,32
2020-09-30 21:59:00,2020-09-30 21:59:00,1.17255,1.17255,1.17256,1.17253,6
2020-09-30 22:00:00,2020-09-30 22:00:00,1.17255,1.17239,1.17255,1.17231,34
2020-09-30 22:01:00,2020-09-30 22:01:00,1.1724,1.1723,1.1724,1.17225,89
2020-09-30 22:02:00,2020-09-30 22:02:00,1.17232,1.17242,1.17243,1.17231,27
2020-09-30 22:03:00,2020-09-30 22:03:00,1.17243,1.17255,1.17255,1.17236,42
2020-09-30 22:04:00,2020-09-30 22:04:00,1.17255,1.17276,1.17277,1.17255,44
2020-09-30 22:05:00,2020-09-30 22:05:00,1.17275,1.17271,1.17277,1.17271,21
2020-09-30 22:06:00,2020-09-30 22:06:00,1.17271,1.17273,1.17273,1.1727,22
2020-09-30 22:07:00,2020-09-30 22:07:00,1.17271,1.17275,1.17275,1.17271,10
2020-09-30 22:08:00,2020-09-30 22:08:00,1.17275,1.17273,1.17275,1.17257,36
2020-09-30 22:09:00,2020-09-30 22:09:00,1.17273,1.17277,1.17277,1.1727,18
