Date,Date,Open,Close,High,Low,Volume
2020-09-30 03:10:44,2020-09-30 03:10:44,1.1734,1.1734,1.1734,1.1734,0
2020-09-30 03:10:45,2020-09-30 03:10:45,1.1734,1.1734,1.1734,1.1734,0
2020-09-30 03:10:46,2020-09-30 03:10:46,1.17341,1.17341,1.17341,1.17341,2
2020-09-30 03:10:47,2020-09-30 03:10:47,1.17343,1.17343,1.17343,1.17343,1
2020-09-30 03:10:48,2020-09-30 03:10:48,1.17343,1.17347,1.17347,1.17343,5
2020-09-30 03:10:49,2020-09-30 03:10:49,1.17347,1.17349,1.17349,1.17347,4
2020-09-30 03:10:50,2020-09-30 03:10:50,1.17349,1.17349,1.17349,1.17349,1
2020-09-30 03:10:51,2020-09-30 03:10:51,1.17349,1.17349,1.17349,1.17349,0
2020-09-30 03:10:52,2020-09-30 03:10:52,1.17349,1.17349,1.17349,1.17349,0
2020-09-30 03:10:53,2020-09-30 03:10:53,1.17349,1.17349,1.17349,1.17349,0
2020-09-30 03:10:54,2020-09-30 03:10:54,1.17349,1.17349,1.17349,1.17349,0
2020-09-30 03:10:55,2020-09-30 03:10:55,1.17349,1.17339,1.17349,1.17339,7
2020-09-30 03:10:56,2020-09-30 03:10:56,1.17339,1.17339,1.17339,1.17339,0
2020-09-30 03:10:57,2020-09-30 03:10:57,1.17339,1.17339,1.17339,1.17339,0
2020-09-30 03:10:58,2020-09-30 03:10:58,1.17339,1.17339,1.17339,1.17339,0
2020-09-30 03:10:59,2020-09-30 03:10:59,1.17339,1.17339,1.17339,1.17339,0
2020-09-30 03:11:00,2020-09-30 03:11:00,1.17339,1.17339,1.17339,1.17339,0
2020-09-30 03:11:01,2020-09-30 03:11:01,1.17339,1.17339,1.17339,1.17339,0
2020-09-30 03:11:02,2020-09-30 03:11:02,1.17339,1.17339,1.17339,1.17339,0
2020-09-30 03:11:03,2020-09-30 03:11:03,1.17339,1.17339,1.17339,1.17339,0
2020-09-30 03:11:04,2020-09-30 03:11:04,1.17339,1.17339,1.17339,1.17339,0
2020-09-30 03:11:05,2020-09-30 03:11:05,1.17339,1.17339,1.17339,1.17339,0
2020-09-30 03:11:06,2020-09-30 03:11:06,1.17339,1.17339,1.17339,1.17339,0
2020-09-30 03:11:07,2020-09-30 03:11:07,1.17339,1.17339,1.17339,1.17339,0
2020-09-30 03:11:08,2020-09-30 03:11:08,1.17339,1.17339,1.17339,1.17339,0
2020-09-30 03:11:09,2020-09-30 03:11:09,1.17339,1.17339,1.17339,1.17339,0
